test_title,Predicted,Answer
왜 학위복 관련 건의만 선택적으로 답변하시나요 졸업식은 학위복만 입는 자리가 아닙니다. 졸업식 연기 방안 마련해주세요.,학생지원 - 행사지원,학생지원 - 행사지원
졸업식 연기 부탁드립니다.,학생지원 - 행사지원,학생지원 - 행사지원
추가학기생 수강가능학점  학점 추가 요청합니다,행정지원 - 학교관련 제도,행정지원 - 학교관련 제도
건의사항,기타,기타
인터넨 강의 전환 시 조예대 등록금 감면 바랍니다.,행정지원 - 학사운영 전반에 관한 업무,대학
학생문화관 냉방 시스템,행정지원 - 학사운영 전반에 관한 업무,생활지원 - 편의시설
음악관 연습실 개방을 요구합니다.,대학,대학
"체대, 조예대등 전체 대학 등록금 반환,  학점 추가 학점 건의합니다",행정지원 - 학사운영 전반에 관한 업무,대학
계절학기 비대면 수업 요구합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
온라인 채플 구제방안 건의합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
수강신청 분반 확충과 교수진 확충을 요구합니다.,대학,행정지원 - 학사운영 전반에 관한 업무
절대평가 권고가 아닌 일률적 적용을 원합니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
대형강의의 대면시험 강행을 금지해주십시오.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
 학점 추가 신청 또는  차 정정기회 요구,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
 학기 혼합강의를 유지해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
계절학기 비대면 및 증원 요청,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
실험과목 오프라인 개강 반대합니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
메가로스쿨 대학서열 정정해주세요,기타,기타
의과대학의  월  일 시험 및 개강 강행을 반대합니다.,대학,대학
이화복지장학금 지원비율,기타,학생지원 - 학술지원
수강신청,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
학교 차원에서 기말 대면시험을 금지해주세요,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
이화민주동산 조성 작업에 대한 반대 제안입니다,기타,기타
패스/논패스 및 절대평가 학점처리 요구드립니다.,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
오프라인 시험 전면 금지 바랍니다,행정지원 - 학사운영 전반에 관한 업무,행정지원 - 학사운영 전반에 관한 업무
이화그린  색상 값을 원래대로 수정해주시기 바랍니다.,기타,기타
