test_title,Predicted,Answer
관광객의 수가 정도를 넘어 선 수준입니다.,기타,기타
졸업식 연기하세요. 대책 마련하세요. 학교가 해야 할 일이니까요.,행정지원,행정지원
기말고사 오프라인 시험 금지 요청,행정지원,행정지원
결론은 결국  학기 전면 사이버강의입니다,행정지원,행정지원
 학기 기말고사를 전면 비대면으로 진행해주십시오,행정지원,행정지원
음악대학 등록금 감면을 요구합니다.,대학,대학
 차 정정기간 요구,행정지원,행정지원
 학기 전면 비대면 선택을 주장합니다.,행정지원,행정지원
기말고사 전면 비대면을 강력요청합니다,행정지원,행정지원
오프라인시험 전면 금지 바랍니다.,행정지원,행정지원
 학기 전면 싸이버강의 대체를 제안합니다,행정지원,행정지원
관광객 통제 체제 앞으로도 계속 유지해주세요,기타,기타
대학원관에 복사기 설치해주세요.,학생지원,학생지원
중앙도서관 컴퓨터실 운영해주세요.,생활지원,행정지원
등록금 감면을 요구합니다,행정지원,행정지원
"추가학점,  수강정정 및 등록금 반환 건의합니다.",행정지원,행정지원
생협동동이 지원서 관련 건의,행정지원,학생활동
도서관 국내 전자 신문 시범 서비스가 유지되었으면 좋겠습니다.,학생지원,학생지원
공대 와이파이 개선해주세요.,학생지원,학생지원
 학기 전면 사이버 강의 대체 부탁드립니다,행정지원,행정지원
"이화그린색 원래대로 돌려놔주세요, 색 바꾼 교직원 신상공개 부탁드립니다.",기타,기타
 년도  학기 전면 사이버강의 전환을 제안합니다,행정지원,행정지원
엘텍공과대학의 오프라인 시험 금지를 제안합니다.,행정지원,대학
코로나  학점 추가학점 요청드립니다.,행정지원,행정지원
학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,대학,대학
음악대학 오프라인 실기시험을 반대합니다.,대학,대학
계절학기 전면 온라인으로 전환해주세요,행정지원,행정지원
의대 오프라인 개강 방식에 반대합니다.,행정지원,대학
 학점 추가 및 수강정정 열어주세요.,행정지원,행정지원
조예대 학생들의 일부 등록금 반환 요구,대학,대학
수면실 너무 추워요,생활지원,생활지원
경영학과 주전공생의 수업권을 보장해주세요,대학,대학
졸업식 관련하여 대책마련이 필요합니다.,행정지원,행정지원
수요에 맞는 계절학기 증원을 요청합니다,행정지원,행정지원
학점 포기제도 부활,행정지원,행정지원
"고려대학교의 보구녀관, 의사 김점동 업적 탈취 시도에 대한 장기적인 대책 요구",기타,기타
음대 등록금감면,대학,대학
"수강정정기간, 수업정원 늘리고 학점에 따른 등록금 차등 지급하고, 남은 학점 이월가능하게 해주세요.",행정지원,행정지원
교양 과목 개설 관련,행정지원,행정지원
등록금 감면 및 수업평가방식에 대해 건의합니다.,행정지원,행정지원
메가로스쿨 강남캠퍼스  월  일자 설명회 설문지 '중경외시이' 정정해주세요,기타,기타
컴퓨터공학과 전공과목 증원 및 추가분반 개설을 요청합니다.,대학,대학
 월 초 오프라인 시험에 반대합니다.,행정지원,행정지원
융합기초 교양과목의 사이버강의 개수를 늘려주세요,행정지원,행정지원
등록금 일부 반환 혹은 수강 강의 증원 후 신청가능을 요구합니다.,행정지원,행정지원
추가학기생도  학점 추가 등록 가능하게 해주세요,행정지원,행정지원
대학교 과제 하는 방법,기타,기타
채플 일정에 시험기간을 고려해 주시기 바랍니다.,행정지원,행정지원
추가학기생도  학점 추가등록 가능하게 해주세요,행정지원,행정지원
온라인강의 연장 건의합니다,행정지원,행정지원
학부생 주차,학생지원,학생지원
이화 앱의 오류를 시정해주세요.,기타,기타
계절학기 온라인강의 진행,행정지원,행정지원
기말고사 전면 비대면으로 전환해주십시오.,행정지원,행정지원
 학기 전체 사이버 연장 제안합니다.,행정지원,행정지원
"메가엠디, 핏단기의 약대 서열을 정정해주십시오.",기타,기타
음악대학의 오프라인 실기시험에 반대합니다,대학,행정지원
나눔리더십 분반늘려주세요,기타,학생활동
기숙사 선택 입사 가능하게 해주세요,생활지원,생활지원
정시 모집 요강 디자인 변경 요청드립니다.,행정지원,행정지원
올해 졸업전시를 앞둔 조예대 학생입니다. 조예대 복도 바닥 타일 교체만이라도 원합니다.,대학,대학
나눔리더십 실천활동 제안드립니다 (장애 지원 시설 관련),학생지원,학생활동
경영 전공 수업들의 분반 확충 및 수강 인원 증원을 요구드립니다.,대학,행정지원
 학기 대면/비대면 강의 혼합 운영시 고려되어야 할 점 건의드립니다.,행정지원,행정지원
통계학과 전공과목 증원 및 분반 개설을 요청합니다.,대학,대학
 차 수강정정기간 제안,행정지원,행정지원
추가학기생에게도 동등히 추가학점  학점을 부여해주세요,행정지원,행정지원
우리대학 대외이미지 개선 제발 부탁드립니다.,기타,기타
나눔리더십 추가분반개설요청,대학,학생활동
등록금 감면 및 환불 건의합니다,행정지원,행정지원
음대 실기시험 논의를 부탁드립니다,대학,대학
"편입생도 우수졸업, 최우수졸업이 가능하도록 제도적 한계를 없애주세요",행정지원,행정지원
조예대 등록금 감면해주세요,대학,대학
입시 커뮤니티의 이화여대 혐오를 해결해주십시오.,기타,기타
"실험,실습 강의의 오프라인 수업을 반대합니다",행정지원,행정지원
단풍은 들지만 날씨는 춥네요.,행정지원,기타
학교 및 학과별 홈페이지 업데이트,행정지원,행정지원
수강 정정 기회 부여 및 등록금 일정 부분 환불을 원합니다,행정지원,행정지원
미대목동병원 인터넷 불량 문제,기타,학생지원
정보인증제 자격증 확대 요구,행정지원,학생지원
등록금 반환을 요구합니다.,행정지원,행정지원
우선수강신청 방식 변경 건의합니다,행정지원,행정지원
"모든 교직원 신상, 출신학교 공개 요청",기타,기타
등록금 일부 반환을 강력하게 건의합니다.,행정지원,행정지원
이대 누적적립금 위 등록금 반환해주세요,행정지원,행정지원
수강정정 및 추가 학점 신청 바랍니다.,행정지원,행정지원
등록금 반환을 요구합니다,행정지원,행정지원
음악관 연습실 개방을 허락해주세요,대학,대학
빨리 해결해주세요,기타,기타
 학기 전면 사이버강의를 요청합니다.,행정지원,행정지원
기말고사 오프라인 시험을 금지해주세요.,행정지원,행정지원
재외국민 기숙사 선택 입사,생활지원,생활지원
학생문화관 냉방 시스템,행정지원,생활지원
미분적분학  분반 추가개설 혹은 증원 요청합니다,대학,대학
코로나  예방을 위해  컴퓨터실(개방실습실) 관리 및 통제 부탁드립니다.,생활지원,행정지원
학교 홍보 및 인색 개선과 관련하여 건의 드립니다.,행정지원,행정지원
사이버강의 기간 연장과 학교측의 빠른 대안 제시를 요청합니다.,행정지원,행정지원
